Name,also called or related to,Description,Advantages over other metrics,Question answered,Designed for Reproducibility,Type of reproducibility named in included paper(s),Type of Reproducibility investigated,Related iRISE glossary term,Scenario of application,Purpose of Metric,Purpose of Metric - explanaition,Type of metric,Type of assessment,Implementation of Metric,Data Input,Assumptions,Limitations,First mention in,Discussed in,Used in
Likelihood-based approach for reproducibility,Likelihood-ratio,"The design of the original study is used to derive an estimate of a theoretically interesting effect size, $d_{\mbox{tie}}$. A likelihood ratio is then calculated to contrast the match of two models to the data from the replication attempt: a model based on the derived $d_{\mbox{tie}}$, and a null model. More specifically, a null model assuming no effect and a replication model that assumes the effect is $d_{\mbox{tie}}$.  The magnitude of the likelihood ratio describes the strength of the evidence in favor of one or the other model. Very large ratios in favor of $d_{\mbox{tie}}$ would be considered strong evidence for replication. Symmetrically, very large ratios in favor of the null model would be strong evidence against replication.",(1) Provides clear inferences concerning replication without the need for large samples (2) Provides a continuous index of strength of evidence for or against replication,"""Given a theoretically interesting effect size derived from the original study, what is the evidence for or against replicating this effect?""",Yes,Replication,Different data - same analysis,Reproducibility (direct and conceptual replication),One original study and one replication study,"To quantify (continuous); To classify (binary, yes or no)","Quantification as the technique provides an effective way to describe the evidence for or against replicating a theoretically interesting effect size. Classification by using a threshold value for ""clear evidence"" on the ratio.",A formula; A statistical model,Quantitative and objective,Ready-to-use open-source tool; Easy to implement: The authors provide R-code from \href{https://osf.io/rdcmu/}{https://osf.io/rdcmu/},"Results - numbers and tables, and sample size of original study","(1) independent and normally distributed data (2) To define the theoretically interesting effect size, the method assumes that “good evidence” corresponds to an adjusted likelihood ratio of 8:1 (3) the original study was sufficiently powered",(1) Currently limited to the comparison of two conditions,\cite{dixon_assessing_2020},,
Bayesian mixture model for reproducibility rate,,"It is a model for the $p$-values from the original results and the replications, in order to assess the reproducibility rate and to investigate whether some characteristics of the studies are associated with how likely they reproduce. In the mixture model each pair of $p$-values (original and replication) comes from a mixture distribution were one component describes the $p$-value behavior under the null hypothesis and the second under the alternative. All included original studies claim a significant result, the weight given to the second component of the mixture can be seen as a reproducibility rate. As such, the model is linked to the significance criterion.",,"""Given the results ($p$-values) from a set of original and replication studies, what is the rate of reproducibility, and how is it related to certain aspects of the experiments?""",Yes,Reproducibility; replication; reliability,Different data - same analysis,Reproducibility (direct and conceptual replication),Several pairs of original and replication studies,To quantify (continuous); To explain,Quantification of reproducibility of a whole replication projects with several study pairs. Explanation of reproducibility possible by adding covariates to the model.,A statistical model,Quantitative and objective,"Hard to implement: Authors mention STAN within R, but no code is provided",Results - numbers and tables,(1) the $p$-value distribution is the same in the original and replication studies; the distribution is supposed to be uniform ,(1) Tested only in a scenario where all originals were significant (2) Closely linked to significance criterion (as based on $p$-values),\cite{pauli_statistical_2019},,
Unified framework for estimating the credibility of published research,,"The unified framework for estimating the credibility of published research examines four fundamental falsifiability-related dimensions: transparency of the methods and data, reproducibility of the results when the same data-processing and analytic decisions are reapplied, robustness of the results to different data-processing and analytic decisions, and reproducibility of the effect. This framework includes a standardized workflow in which the degree to which a finding has survived scrutiny is quantified along these four dimensions. More specifically, for method and data transparency: availability of design details, analytic choices, and underlying data; for analytic reproducibility: ability of reported results to be reproduced by repeating the same data processing and statistical analyses on the original data; for analytic robustness: robustness of results to different data-processing and data-analytic decisions; and for effect reproducibility: ability of the effect to be consistently observed in new samples, at a magnitude similar to that originally reported, when methodologies and conditions similar to those of the original study are used. The framework outlines the steps to investigate these four dimensions.",(1) combines various sources of evidence,"""For a specific published research work, what is the evidence for its credibility measured on four different dimensions: method and data transparency, analytic reproducibility, analytic robustness and effect reproducibility?""",Yes,Analytical reproducibility; Analytical robustness; Replicability; Effect replicability,Same data - same analysis; Same data - different analysis; Different data - same analysis; Different data - different analysis,"Proxy, reproducibility (direct and conceptual replication), computational reproducibility, repeatability, robustness",One original study and many replication studies,To quantify (continuous); To describe,"While the authors claim quantification of reproducibility is possible, the framework is more useful to describe the evidence from various sources",A framework including: A formula; A statistical model; A survey or questionnaire,"Qualitative (Quantitative elements, but the conclusion is a qualitative assessment)",Unclear implementation: authors only mention a prototype implementation,"Results - numbers and tables; Qualitative data, surveys or questionnaires",(1) needs all types of replication studies,,\cite{lebel_unified_2018},,
Reproducibility scale of workflow execution - Tonkaz,,"The metric is based on the idea of evaluating the reproducibility of results using biological feature values (e.g., number of reads, mapping rate, and variant frequency) representing their biological interpretation. The resulting reproducibility scale is a four point scale and goes from ``Fully Reproduced'' to ``Acceptable Differences'' to ``Unacceptable Differences'' to ``Not Reproduced''. The authors implemented an automated system to classify results on this scale. ",(1) does not only focus on execution of a workflow but also on the verification of results,"""Given a certain original research paper with results based on computation, can the workflow to generate the results be executed and verified?""",Yes,Reproducibility,Same data - same analysis; Same data - different analysis; Different data - same analysis; Different data - different analysis,"Proxy, reproducibility (direct and conceptual replication), computational reproducibility, repeatability, robustness",One original study,To classify (on a 4-point scale),"To automatically calculate the reproducibility scale of a file: Tonkaz first checks whether the files are identical using a checksum. If the files are identical, the reproducibility scale concludes ``Fully Reproduced''. If the files are not identical, Tonkaz compares the biological feature values of the files using a threshold value to determine whether the differences are acceptable or not and if they are acceptable, the reproducibility scale conclude ``Acceptable Difference''. If they are unacceptable, the reproducibility scale conclude ``Unacceptable Difference''. The default threshold value is set to 0.05 which can be changed according to the use case. If the file entity exists only in 1 of the 2 RO-Crates, the reproducibility scale value is “Not Reproduced.”",An algorithm,Qualitative and objective,"Ready-to-use open-source tool; Hard to implement: Authors refer to project on \href{https://github.com/sapporo-wes/sapporo-service}{https://github.com/sapporo-wes/sapporo-service}. Authors further suggest some general steps: (i) extract the statistics of biological features from the output, (ii) represent the statistics in a standardized format, and (iii) compare the statistics and report on the reproducibility scale.",Code or software; Original raw data,,"(1) Specific to bio-informatics research (2) Tonkaz has a challenge in the reproducibility of its function, as it is dependent on other systems",\cite{suetake_workflow_2022},,
Mean relative effect size,Percentage difference in effect size,"The mean relative effect size is defined as $\nu = \sum_{j=1}^m \frac{\theta_{2j}/\theta_{1j}}{m},$ where $\theta_{2j}$ and $\theta_{1j}$ are the effect sizes from either the original or the replication study and $m$ is the number of findings that were replicated. This value is usually used to assess by how much the effect size changed from original to replication study. Alternatively, the percentage difference can be used.",,"""What is the average ratio of replication study effects to original study effects?""",No,Replication; Replicability,Different data - same analysis; Same data - same analysis,"Reproducibility (direct and conceptual replication), computational or analytical reproducibility",Several pairs of original and replication studies,To quantify (continuous),"To quantify a proxy, i.e., the closeness of effect size estimates",A formula,Quantitative and objective,Easy to implement,Results - numbers and tables,,(1) Not defined for effects that are zero (2) Standard error is undefined,,\cite{schauer_evaluation_2021},"\cite{ebersole_many_2020, soto_how_2019, kirkby_quantitative_2023, veronese_reproducibility_2021, wang_reproducibility_2022, open_science_collaboration_estimating_2015}"
Correlation between effects,,"Replication is assessed in terms of the linear relationship between effect estimates, including numerically with the Pearson or Spearman correlation as well as visually with scatter-plots. For successful replications the correlation should be close to 1.",,"""Do the replication studies and the original studies produce effects that are correlated?""",No,Replication; Replicability,Different data - same analysis; Same data - same analysis,"Reproducibility (direct and conceptual replication), computational or analytical reproducibility",Several pairs of original and replication studies,To quantify (continuous),To quantify the correlation between original and replication effects,A formula,Quantitative and objective,Easy to implement,Results - numbers and tables,,"(1) There is inconsistency in the definition of replication: High correlation between effect parameters does not mean that they are similar in size (2) Bias: Reported correlation will
be downward biased",,\cite{schauer_evaluation_2021},\cite{wang_reproducibility_2022}
Fragility Index,Fragility quotient,"The fragility index was proposed to quantify the robustness of statistical significance of clinical studies with binary outcomes. It is defined as the minimal event status modifications that can alter statistical significance. If the original study result is statistically significant (with $p(0,0) < \alpha$), the fragility index is defined as $$FI =  \min_{p(f_0, f_1) \geq \alpha} |f_0| + |f_1|,$$ where $f_0$ and $f_1$ are the numbers of non-events changed to events in groups 0 and 1, respectively. If the original study result is non-significant (with $p(0,0) \geq \alpha$), the min is searched for all $f_0$ and $f_1$ with $p(f_0, f_1)< \alpha$.  A smaller value of FI indicates a more fragile results. The FI was extended to meta-analyses and network meta-analyses. One may use the relative measure, fragility quotient (FQ), to compare the multiple studies’ fragility. Specifically, $$FQ = \frac{FI}{n_0 + n_1} \times 100\%$$ where $n_0 + n_1$ is the total sample size of the study. Thus, the FQ represents the minimal percentage change of event status among all participants that can alter the significance (or non-significance), and it ranges within 0 and 10\%.",,"""Given the results of an original study were significant, what is the smallest change in the original data that is needed to deem the results non-significant? and vice-versa for original null results"" - ""How fragile are the original results to small changes in the underlying data?""",Yes,Fragility; Robustness; Reproducibility; Reliability,Same data - different analysis,"Repeatability, robustness",One original study,To quantify (continuous),The method quantifies fragility of results,A formula,Quantitative and objective,Ready-to-use open-source tool: Fragility package in R,Results - numbers and tables; Original raw data,"(1) the FI was originally restricted to RCTs with a balanced design (i.e., a 1:1 treatment allocation ratio), while this restriction could be relaxed, and a more general algorithm of the FI is available for RCTs with an unbalanced design (2) Coding skills: using the “fragility” package requires researchers to possess some coding skills; clinicians without coding training might not directly use this package for assessing the fragility of clinical studies.","(1) the existing literature lacks a guideline or rule of thumb to interpret the magnitude of the FI or FQ (i.e., the extent of fragility) (2) the FI may be highly associated with $p$-value and sample size (3) limitation of presented implementation: current version of the “fragility” package can only deal with clinical studies with binary outcomes ",\cite{walsh_statistical_2014},"\cite{lin_assessing_2022, lin_assessing_2023}",
Externally standardized residuals,,"For each $i = 1, \dots, n$, the replication effect size $i$ is compared to the weighted mean effect size of all replications excluding study $i$ via a standardized difference. These residuals can than inform on a failure to replicate. They tend to be ambiguous about successful replications. This metric is related to the measure of reproducibility of the studies included in a meta-analysis introduced by \cite{xiao_quantifying_2024}.",,"""Is the original study consistent with the replication(s)?"" - ""Are all studies included in a meta-analysis replicable?""",No,Replication,Different data - same analysis; Same data - different analysis,"Reproducibility (direct and conceptual replication), repeatability, robustness, generalizability, translatability",One original study and one replication; or one original study and many replications,To quantify (continuous); To classify (binary),The method quantifies the extent to which initial findings may be incongruous with the replications,A formula,Quantitative and objective,Unclear implementation,Results - numbers and tables,,(1) The test will never be conclusive about replication success (unless they have very high power).,\cite{schauer_assessing_2020},\cite{xiao_quantifying_2024},
Snapshot hybrid,Bayesian meta-analysis,"The method combines both the original and replication effect size to evaluate the common true effect size. It is a hybrid method because it only takes the statistical significance of the original study into account, whereas it considers evidence of the replication study as unbiased. The snapshot hybrid consists of three steps. First, the likelihood of the effect sizes of the original study and replication is calculated conditional on four hypothesized effect sizes (zero, small, medium, and large). Second, the posterior model probabilities of these four effect sizes are calculated using the likelihoods of step 1 and assuming equal prior model probabilities. Equal prior model probabilities are selected by default, because this refers to an uninformative prior distribution for the encompassing model. Third, when desired, the posterior model probabilities can be recalculated for other than equal prior model probabilities.","(1) Statistically combines the original study and replication, while at the same time taking the statistical significance of the original study into account (2) Quantifies the evidence that the true effect size is zero, small, medium or large","""After replicating an original study, what is the evidence for a null, small, medium or large effect?""",Yes,Replication,Different data - same analysis,Reproducibility (direct and conceptual replication),One original study and one replication study,To quantify (continuous),"Quantifies the evidence that true effect size is zero, small, medium or large",A formula; A statistical model ,Quantitative and objective,Ready-to-use open-source tool: Researchers can apply snapshot hybrid with the R function snapshot” in the “puniform” package (package can be installed with the following R code devtools::install_github(“RobbievanAert/puniform”). ,Results - numbers and tables,"(1) the same effect (i.e., fixed effect) has to be underlying the original study and replication (2) effect size in the original study and replication are assumed to be normally distributed (3)  the original study is required to be statistically significant. ",(1) only applicable with significant original studies (2) assumes assumes that the same true effect is underlying the original study and replication (3) two studies are not sufficient to estimate the amount of heterogeneity (4) currently limited to pairwise comparison of one original and one replication study (5) will be biased in in case of QRPs in the original study,\cite{van_aert_bayesian_2017},,
Bayesian Evidence Synthesis,variant: Meta-Analysis Model-based Assessment of replicability (MAMBA),"The approach assumes that multiple studies exist that investigate a common general theory. These studies might be so diverse in design and measurements, that the study-specific informative hypotheses reflecting the common theory can differ. First the evidence for or against the hypothesis of interest in each individual study is quantified. The evidence is then pooled over studies, providing a joint level of support for the general theory. The aggregation uses updated model probabilities, that is, the posterior odds after observing a first data set are used as the prior odds for the second study; and the posterior odds after inclusion of the second study are used as the prior odds for the third study. This process can be repeated for each additional replication study as presented in: $$\left ( \frac{P(H_1 \ | \ Y)}{P(H_2 \ | \ Y)}\right)^N = \frac{P(H_1)}{P(H_2)} \prod_{n=1}^N(B_{12})^n,$$ where $n = 1,\dots, N$ indicates the number of studies and $Y$ is the denotes the data. Note that the prior odds before the first study $P(H_1)/P(H_2)$ is often set to one, reflecting no preference for either hypothesis before any data was observed. A closely linked variant of this is the MAMBA, introduced for replicability for genome data.","(1) Allows to combine studies that are substantially different, but investigate a common general theory","""Given several conceptual replications with substantial diversity in data, design and methods but investigating the same theory, what is the evidence underlying a certain theory of interest?""",No,Replication; Replicability; Conceptual replication,Different data - different analysis,,Several substantially different replications investigating the same theory of interest,To quantify (continuous),Quantification of the evidence for a certain theory of interest,A formula; A statistical model ,Quantitative and objective,Ready-to-use open-source tool: the authors mention several R-packages that can be used for the implementation,Results - numbers and tables,"(1) assumes that multiple studies exist that investigate a common general theory but may be so diverse in design and measurements, that also the study-specific informative hypotheses reflecting this common theory can differ",(1) it is not a data pooling method; aggregation over multiple studies does not increase the power to find support for a hypothesized effect,\cite{klugkist_bayesian_2023},Variant for genome data in \cite{mcguire_model-based_2021},
Design analysis,,"Given that a study was performed that yielded an estimate $d$ with standard error $s$. Then a true effect size $D$ (the value that $d$ would take if observed in a very large sample) has to be considered. The random variable $d^{rep}$ is defined as the estimate that would be observed in a hypothetical replication study with a design identical to that used in the original study. A probability model for $d^{rep}$ then gives the following three summaries:  (1) The power: the probability that the replication $d^{rep}$ is larger (in absolute value) than the critical value that is considered to define “statistical significance” in this analysis; (2) The Type S error rate: the probability that the replicated estimate has the incorrect sign, if it is statistically significantly different from zero; (3) The exaggeration ratio (expected Type M error): the expectation of the absolute value of the estimate divided by the effect size, if statistically significantly different from zero.",(1) allows to put potentially misleading statistically significant results into context,"""Given the results of an original study and an effect of a hypothetical replication study, what is the probability of the estimate being in the wrong direction, and what is the factor by which the magnitude of the effect is overestimated?""",Yes,Replication; Hypothetical replication,Different data - same analysis,,One original study,To quantify (continuous); To analyse,Quantification of the probability of an estimate being in the wrong direction (Type S [sign] error) and the factor by which the magnitude of an effect might be overestimated (Type M [magnitude] error or exaggeration ratio) ,A formula; A statistical model; An analysis,Quantitative and objective,Ready-to-use open-source tool: the authors mention the R function retrodesign(),Results - numbers and tables,(1) assumes that the effect of a hypothetical replication study can be estimated,(1) Challenging to come up with reasonable estimates of plausible effect sizes based on external information,\cite{gelman_beyond_2014},,
Reproducibility Maps,,The fMRI images are colored depending on whether or not the truly active voxels were stongly reproducible or not ,,"""For fMRI research, how many and which of the truly active voxels were strongly reproduced?""",Yes,Reproducibility,Same data - same analysis; Same data - different analysis,,Several replications,To quantify (continuous); To classify (binary),,A graph,Quantitative and Qualitative,Hard to implement,Results - figures: fMRI,,(1) Needs many replications (2) Specific to fMRI research,\cite{liou_bridging_2003},,
Continuously cumulating meta-analytic approach,,"Continuously cumulating meta-analysis (CCMA) uses standard meta-analytic calculations in a continuing fashion after each new replication attempt completes. Instead of simply noting whether each individual replication attempt reached significance, CCMA combines the data from all studies that were completed so far and computes meta-analytic indexes to quantify the evidence ",(1) Combines evidence from subsequent replications in a continuing fashion,"""Given subsequent replications that were performed to date, what is the current evidence for an effect?""",Unsure,Replicability; Replication,Different data - same analysis,,One original study and several replication studies; or several replications,To quantify (continuous),Quantifies the evidence for an effect by combining the data of all replication studies that were completed so far,A formula; A statistical model,Quantitative and objective,Unclear implementation,Results - numbers and tables,,"(1) Potential bias in studies effect sizes and publication bias, will bias and influence the CCMA estimate",\cite{rosenthal_replication_1990},"\cite{braver_continuously_2014, anderson_theres_2016, fletcher_how_2021}",
Correspondence test,,"This measure combines a difference (related to the Q-test) and equivalence test in the same framework. The correspondence test allows for a more nuanced inference regarding replication success or failure based on whether the null hypothesis of either test can or cannot be rejected. The test has four possible outcomes: equivalence if the difference test is non-significant and the equivalence test is significant, difference if the difference test is significant and the equivalence test is non-significant, trivial difference if the difference test is significant and the equivalence test is significant and indeterminacy if the difference test or the equivalence test are significant . ",(1) It is a more severe test than the difference and equivalence tests on their own,"""To what extent does the effect size from the replication study differ or is equivalent to that of the original study?""",Yes,Replicability,Different data - same analysis,,One original study and one replication study,"To classify (binary, yes or no)",Classifies the correspondence of the two studies on a four point scale,A formula,Quantitative and Qualitative,Easy to implement,Results - numbers and tables,(1) Focuses on pairwise replications,,\cite{steiner_correspondence_2023},,
Z-curve,"Exact replication rate, p-curves","The Z-curve methodology is a method for estimating the expected replication rate, which can be defined as the predicted success rate of exact replication studies based on the mean power after selection for significance. An extension was proposed which estimates the expected discovery rate in addition, which is the estimate of a proportion that the reported statistically significant results constitute from all conducted statistical tests and can be used to detect and quantify the amount of selection bias. ",(1) Can work with any data distribution,"""Do all studies combined provide credible evidence for a phenomenon?""",Yes,Replication; Replicability,Different data - same analysis,,Several replications or originals,To quantify (continuous); To predict,Predicts the success rate of exact replication studies. Quantifies the evidence for a phenomenon,A formula; A graph,Quantitative and objective,Ready-to-use open-source tool; Easy to implement,Results - numbers and tables,(1) All studies investigate the same effect size,(1) Problem when included studies use different significance thresholds (2) Potential QRPs might cause mean power to be underestimated by the z-curve (3) Most useful with a large set of studies,"\cite{brunner_estimating_2020} (Z-curve), \cite{simonsohn_p-curve_2014} (P-curve)",\cite{bartos_z-curve_2022},
Cross-validation methods,"Jackknife, bootstrap","Internal cross-validation methodology are used to test result replicability, where the results received in one sub-sample of the raw data can be confirmed in the remaining data. The degree of shrinkage (validity shrinkage) is then estimated using the difference in $R^2$ between the sub-samples providing a theoretical basis to evaluate the reproducibility of result. The closer shrinkage is estimated to be zero, the greater the degree of stability and more confidence in the replicability/generalizability of the results. Alternatively, jackknife and bootstrap validation methods can be used. ",(1) cross-valudation can contribute important information regarding generalizability that is easily obtained,"""To what extent can the stability of a result be trusted, and to what extent can the result be generalized?""",No,Replicability; Results replicability; Generalisability; Internal replicability,Different data - same analysis,,One original study,To quantify (continuous); to predict,To quantify the degree of shrinkage related to reproducibility. To predict results of hypothetical replications,A formula,Quantitative and objective,Ready-to-use closed tool: SPSS syntax provided in \cite{guan_evaluating_2004}; Ready-to-use open-source tool: \href{https://qchelseasong.shinyapps.io/CrossValTutorial/}{https://qchelseasong.shinyapps.io/CrossValTutorial/},Raw original data,,(2) internal replicability analyses can not overcome the limits of the data at hand and the specific experimental procedures that the researcher followed - external analyses would be better (2) cross-validation is not a substitute for replication efforts.,\cite{thompson_pivotal_1994},"\cite{guan_evaluating_2004, song_making_2021}",
"Network Comparison Test, NCT",,This test was proposed to statistically evaluate the similarity of network models.,,"""Given two network structures, how similar are they to each other?""",No,Replicability; Stability; Reliability; Replication,Same data - same analysis; Different data - same analysis,,One original study and one replication study,To quantify (continuous); To classify (binary),"To quantify the degree of similarity between two networks. As it is a test, it can be dichotomized",A formula; A test,Quantitative and objective,Ready-to-use open-source tool: code is provided on \href{https://osf.io/akywf/}{https://osf.io/akywf/} and on \href{https://osf.io/6fk3v/}{https://osf.io/6fk3v/} refering to the bootnet R package,Results - numbers and tables,,"(1) True relationship between variables in the same sample is not known: In the absence of this knowledge, one cannot know for sure if differences in results are due to differences in sample characteristics, or to a flawed method (2) the guidelines for interpreting bootnet results encourage a false sense of confidence in the stability and interpretability of network characteristics (3) specific to network analyses",,"\cite{borsboom_false_2017, forbes_quantifying_2021}",
Leave-one-out error,,"A model is trained on all data without the $i$th data point, and tested on the $i$th data point. The leave-one-out error is then directly related to the average loss or error over all $i$. ",,"""Given a deep learning model, how generalizable are its results?""",No,Generalisability,Different data - same analysis,,One original study,To quantify (continuous); to predict,"To quantify generalization error, and to predict how well the deep learning model would generalize",A formula,Quantitative and objective,Ready-to-use open-source tool: Code available on \href{https://github.com/gregorbachmann/LeaveOneOut}{https://github.com/gregorbachmann/LeaveOneOut},Raw original data,,(1) Current discussion specific to deep learning models,,\cite{bachmann_generalization_2022},
Subjective reproducibility assessment,"Replication standard, assessment of feasibility","The replication teams are surveyed/asked to answer the question ``Did your results replicate the original effect?''. The teams can give a binary answer, or give a more nuanced interpretation on, for example, a Likert scale. Specific fields have specified their own categories for reproducibility assessment, as for example the replication standard in agent-based modeling:  ``numerical identity'', ``distributional equivalence'', and ``relational alignment''. For the reproducibility of simulation studies, agreement between results from the replication studies and the original studies was assessed in a qualitative manner and involved evaluating: whether numerical values from the replication studies were comparable to those in the original studies, whether trends in the results were moving in the same direction, and whether the performance rankings of different simulation scenarios matched those in the original studies \cite{luijken_replicability_2024}.",(1) Allows for the reproducibility assessment of complex designs,"""Does the replication team consider the replication as successful?"" - ""To what extent does the replication team trust in the reproducibility of a finding?""",Yes,Replicability; Replication,Different data - same analysis,,One original study and one replication study,To quantify (continuous); To classify (binary),"To classify into replication success and failure, or quantified on a more fine-grained scale.",A survey or questionnaire,Qualitative and subjective,Easy to implement,Results - numbers and tables; Results - figures; Text,(1) Clear instructions to assessors,(1) Inherently subjective and directly related to replicator expertise,,"\cite{wilensky_making_2007, fletcher_how_2021, luijken_replicability_2024}","\cite{irvine_law_2018, luijken_replicability_2024, naudet_data_2018, boyce_eleven_2023, botvinik-nezer_variability_2020, huntington-klein_influence_2021, van_dongen_multiple_2019, low_comparison_2017, luijken_replicability_2024, fisar_reproducibility_2024, open_science_collaboration_estimating_2015, bastiaansen_time_2020, cova_estimating_2021, chang_is_2022, page_reprise_2021, breznau_observing_2022}"
I squared - $I^2$,Estimation of effect variance,"I squared describes the percentage of total variation across studies (replications) that is due to heterogeneity rather than chance, and is calculated from basic results obtained from a typical meta-analysis: $$I^2 = 100\%\times (Q - \mbox{df})/Q,$$ where $Q$ is Cochran’s heterogeneity statistic and df the degrees of freedom. Any negative values of $I^2$ are set to zero so that it lies between 0 and 100\%. A value of 0\% indicates no observed heterogeneity, and larger values show increasing heterogeneity.",,"""Given a set of replications, to what extent is the total variation across study results due to heterogeneity?"" - ""How consistent are the results across replications?""",No,Consistency; Generalisability; Replication,Different data - same analysis; Different data - different analysis,,Several replications; one original and several replications,To quantify (continuous) ,To quantify (in)consistency in meta-analysis,A formula; A statistical model,Quantitative and objective,Ready-to-use open-source tool: metafor R-package and other tools,Results - numbers and tables,(1) Norrmal distribution of residuals,,\cite{higgins_measuring_2003},\cite{hedges_design_2021},"\cite{hagger_multilab_2016, klein_investigating_2014}"
Credibility analysis,"Reverse-Bayes, probability of credibility, probability of replicating an effect","The analysis of credibility uses the results of a study (specifically the confidence interval) and uses a Reverse-Bayes approach to find the prior that is required to generate credible evidence for the existence of an effect (i.e., a posterior that excludes no effect). The prior is then compared with internal or external evidence to assess if the finding is credible or not. ",(1) allows allows evidence deemed statistically significant/non-significant in the NHST framework to be assessed for its credibility in the Bayesian framework,"""How credible are the results of a study, in a Bayesian framework?""",Yes,Credibility; Replication,Different data - same analysis,,One original study,To quantify (continuous); To classify (binary),"To quantify the credibility of original findings, or to decide whether they are credible or not.",A formula,Quantitative and objective,Ready-to-use open-source tool: R code is provided via \href{https://gitlab.uzh.ch/samuel.pawel/Reverse-Bayes-Code}{https://gitlab.uzh.ch/samuel.pawel/Reverse-Bayes-Code},Results - numbers and tables,"(1) effects assumed to be normal distributed (can be transformed) (2) studies are assumed to be identically designed, having equal variance","(1) the use of prior evidence in credibility assessment: Critics of Bayesian methods frequently claim that the use of such evidence will lead to anarchy, with every clinician reaching different views about the same evidence (2) Normality assumption questionable for small studies",\cite{matthews_methods_2001},"\cite{held_assessment_2019, held_reversebayes_2022}",
"Consistency of original with replications, $P_{\mbox{orig}}$",,This metric is defined as the $p$-value for a null-hypothesis that the effect size of the original study and the effect size pf the replication study (or effect sizes of several replication studies) follow the same distribution.,"(1) account for all relevant sources of statistical uncertainty in many-to-one replication designs, including heterogeneity (2) allow for the assessment of many-to-one replication designs","""To what extent are the replication effect sizes consistent with the effect size of an original study?""",Yes,Consistency; Replication,Different data - same analysis; Different data - different analysis,,One original study and several replication studies,To quantify (continuous) ,"Quantification of consistency of the original study with the replication studies, while accounting for heterogeneity across the population effects",A formula,Quantitative and objective,Ready-to-use open-source tool: R packages Replicate and MetaUtility,Results - numbers and tables,(1) Replications are supposed to yield unbiased estimates (2) Assumes that the population effects are normally distributed (3) replications measure potentially heterogeneous effects,,\cite{mathur_new_2019},"\cite{mathur_challenges_2019, mathur_new_2020}","\cite{boyce_eleven_2023, ebersole_many_2020}"
"Proportion of population effects agreeing in direction with the original, $\hat{P}_{>0}$",,"This metric assesses the strength of evidence of the replication effect sizes going in the same direction as the original effect size, by estimating the proportion of population effects agreeing in direction with the original effect estimate. It can be generalized by ensuring that they do not only agree in direction but are also stronger than a chosen threshold.","(1) account for all relevant sources of statistical uncertainty in many-to-one replication designs, including heterogeneity (2) allow for the assessment of many-to-one replication designs","""To what extent do the replication effect sizes agree with the sign found in the original study?""",Yes,Consistency; Replication,Different data - same analysis; Different data - different analysis,,One original study and several replication studies,To quantify (continuous) ,Quantifies the strenght of evidence,A formula,Quantitative and objective,Ready-to-use open-source tool: R packages Replicate and MetaUtility,Results - numbers and tables,(1) Replications are supposed to yield unbiased estimates,,\cite{mathur_new_2019},"\cite{mathur_challenges_2019, mathur_new_2020}",\cite{ebersole_many_2020}
RepliCATS,,"The process elicits expert predictions about the reproducibility of research. It is based on a modified Delphi technique and includes four steps represented in the acronym IDEA: ‘Investigate’, ‘Discuss’, ‘Estimate’ and ‘Aggregate’. Each individual is provided a scientific claim and the original research paper to read, and provide an estimate of whether or not the claim will replicate (Investigate). They then see the group’s judgments and reasoning, and can interrogate these (Discuss). Following this, each individual provides a second private assessment (Estimate). A mathematical aggregation of the individual estimates is taken as the final assessment (Aggregate).",,"""How reliable do experts believe the claims from an original finding are?""",Yes,Reliability; Replication; Replicability; Generalisability,Different data - same analysis,,One original study,To quantify (continuous); To predict,Predicts the reproducibility/reliability of a claim,A study; A survey or questionnaire,"Quantitative, qualitative and subjective","Clear implementation, but hard to implement","Qualitative data, surveys or questionnaires",(1) based on human-elicitations (2) the IDEA groups are deliberately constructed to be diverse,"(1) Validated for psychology papers only (2) recruitment burden (3) elicitation burden: both the quantity and quality of information provided by experts are thought to decline the longer the elicitation process takes, similar to participant fatigue in surveys and experiments",\cite{fraser_predicting_2023},,\cite{alipourfard_systematizing_2024}
RepeAT - Repeatability Assessment Tool,,"The tool was developed using a multi-phase method to determine components needed for reproducing biomedical data: a literature review generated a framework which was tested and refined. The RepeAT framework now contains 119 unique variables that were grouped into five categories which address different components for reproducible research: research design and aim, database and data collection methods, data mining and data cleaning, data analysis, data sharing and documentation.",,"""Does the presented research align with community standards of reproducible biomedical research, using electronic health records?""",Yes,Reproducibility,Same data - same analysis; Different data - same analysis,,One original study,To quantify (continuous),Quantifies the alignement of the research with community standards,A framework; A study; A survey or questionnaire,Quantitative; Subjective,Unclear implementation,"Results - numbers and tables; Qualitative data, surveys or questionnaires",,(1) This tool has been developed for research using electronic health records,\cite{mcintosh_repeat_2017},,
P interval,,"The p interval, or prediction interval for p, is an interval with a specified chance (usually 80\%) of including the $p$-value given by a replication.",(1) can act as a remedy against the replication fallacy: the false belief that 1-p is the probability a result will replicate or that a repetition of the experiment will give a statistically significant,"""Given the results of an original study, what is the range of $p$-values a replication (following the same design) would lie in with 80\% probability?""",Yes,Replication,Different data - same analysis,,One original study,To predict,To predict the $p$-value of a future replication study,A formula,Quantitative and objective,Clear implementation,Results - numbers and tables,(1) different assumptions give slightly different versions of the p interval,(1) heavily depends on assumptions,\cite{cumming_replication_2008},,
